fuente,nit,nit-razon social,Sector,ut,ventas
,800011489,800011489 - Disbohios Sas,K6613 - Otras actividades relacionadas con el mercado de valores,,1517
,800011566,800011566 - Visbal Moreno Sucesores Sas,C2511 - Fabricación de productos metálicos para uso estructural,,7608
,800011815,800011815 - Alfazeta Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,2971
,800011817,800011817 - Renteria Y Cia Sca,A0124 - Cultivo de caña de azúcar,,1648
,800011874,800011874 - Acrilinea Sas,C3290 - Otras industrias manufactureras n.c.p.,,10578
,800011955,800011955 - Digital Estereo Sas,J6010 - Actividades de programación y transmisión en el servicio de radiodifusión sonora,,439
,800012015,800012015 - Ital Styl Sas,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,,1710
,800012049,800012049 - Amaral Diseño Sas,M7410 - Actividades especializadas de diseño,,728
,800012080,800012080 - Mundial De Filtros Y Aceites Sas,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",,22231
,800012181,800012181 - Compañia Palmicultora Del Llano Sa,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,10821
,800012186,800012186 - Freimanautos Sa,G4520 - Mantenimiento y reparación de vehículos automotores,,851
,800012797,800012797 - Climatec Servicios Sas,C2819 - Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,,9565
,800012817,800012817 - Moli S.A.S.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",,34558
,800013052,800013052 - Agrodec Sas,A0124 - Cultivo de caña de azúcar,,3295
,800013148,800013148 - Bernardo Aparicio E Hijos Sas,K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,,101
,800013331,800013331 - Cargomaster S.A.S.,H5229 - Otras actividades complementarias al transporte,,159
,800013455,800013455 - Microfertisa S A S,C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados,,43302
,800013536,800013536 - Maba S. A S.,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,12412
,800013617,800013617 - Electroingenierias Upegui Sas,G4690 - Comercio al por mayor no especializado,,15953
,800013687,800013687 - Lopez Roma Y Cia Sas,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",,311
,800013879,800013879 - Ecomarket Sas,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",,16590
,800014096,800014096 - Confecciones Toval Sa,"C1392 - Confección de artículos con materiales textiles, excepto prendas de vestir",,20271
,800014107,800014107 - Yamavalle Ltda,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",,24678
,800014574,800014574 - Ducon Sas,C3110 - Fabricación de muebles,,19827
,800014968,800014968 - Rubiano Lopez Y Cia S En C,A0141 - Cría de ganado bovino y bufalino,,2026
,800015079,800015079 - Esguerra Y Gomez Sas,F4290 - Construcción de otras obras de ingeniería civil,,1296
,800015232,800015232 - Ingenieros Contratistas Asociados Sociedad Por Acciones Simplificadas,F4290 - Construcción de otras obras de ingeniería civil,,1101
