fuente,nit,nit-razon social,Sector,ut,ventas
prospectos,900469873,900469873 - Colombia Esl Sas,J6399 - Otras actividades de servicios de información n.c.p.,1000.0,69872
Clientes,901217405,901217405 - Empleamos Temporales Sas,N7820 - Actividades de empresas de servicios temporales,1000.0,79127
prospectos,901261048,901261048 - Grupo Uma Sas,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",1000.0,333602
Clientes,901352950,901352950 - Comercial +Bios S.A.S,G4610 - Comercio al por mayor a cambio de una retribución o por contrata,1000.0,67297
prospectos,901469608,901469608 - Netflix Servicios De Transmisión Colombia Sas,"J5911 - Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión",1000.0,48418
prospectos,901613496,901613496 - Plan B Investment Sas,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",1000.0,650444
prospectos,830090773,830090773 - Massy Energy Colombia Sas,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,970.0,192063
prospectos,800020706,800020706 - Nalsani S.A.S.,"C1513 - Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",950.0,566002
prospectos,901555931,901555931 - Liquitty Colombia Sas,N8291 - Actividades de agencias de cobranza y oficinas de calificación crediticia,950.0,1800
Clientes,892400643,892400643 - Servicios Aeroportuarios Integrados Sai Sas,H5229 - Otras actividades complementarias al transporte,930.0,147467
prospectos,830006735,830006735 - Alimentos Polar Colombia Sas,C1051 - Elaboración de productos de molinería,900.0,854512
Clientes,860017005,860017005 - Challengersas,C2750 - Fabricación de aparatos de uso doméstico,900.0,606697
prospectos,900470946,900470946 - Autozen Sas,G4511 - Comercio de vehículos automotores nuevos,900.0,126499
prospectos,900620832,900620832 - Sofka Technologies S.A.S.,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",900.0,80956
prospectos,900426105,900426105 - Groupm Trading Colombia S.A.S.,M7310 - Publicidad,880.0,94404
Clientes,830000687,830000687 - Sew Eurodrive Colombia Ltda,"C2711 - Fabricación de motores, generadores y transformadores eléctricos",860.0,58885
Clientes,800191700,800191700 - Cueros Velez Sas,"C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela",800.0,761004
prospectos,830010738,830010738 - C.I. Sunshine Bouquet S.A.S,A0125 - Cultivo de flor de corte,800.0,1592597
Clientes,830511795,830511795 - Pastas Comarrico S.A.S.,"C1083 - Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",800.0,20095
prospectos,900089825,900089825 - Adama Colombia Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",800.0,143782
prospectos,900196414,900196414 - Ezentis Colombia S.A.S.,F4321 - Instalaciones eléctricas,794.0,35217
Clientes,900255181,900255181 - Hogar Y Moda Sas,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",785.0,190484
Clientes,890911898,890911898 - Stop S.A.S,"C1410 - Confección de prendas de vestir, excepto prendas de piel",781.0,119325
prospectos,860054781,860054781 - Iron Mountain Colombia Sas,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,766.0,104760
Clientes,890916575,890916575 - Dislicores,G4632 - Comercio al por mayor de bebidas y tabaco,750.0,988744
prospectos,800219668,800219668 - Cobranza Nacional De Creditos S.A.S,N8291 - Actividades de agencias de cobranza y oficinas de calificación crediticia,731.0,33741
