PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,830090773,830090773 - Massy Energy Colombia Sas,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,970,$192063,$192063,$15248,$3838,$54490
prospectos,800020706,800020706 - Nalsani S.A.S.,"C1513 - Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",950,$2830010,$566002,$1524677,$1252425,$719577
prospectos,901555931,901555931 - Liquitty Colombia Sas,N8291 - Actividades de agencias de cobranza y oficinas de calificación crediticia,950,$1800,$1800,$252,,$561
Clientes,892400643,892400643 - Servicios Aeroportuarios Integrados Sai Sas,H5229 - Otras actividades complementarias al transporte,930,$589869,$147467,$94660,$22180,$408238
prospectos,830006735,830006735 - Alimentos Polar Colombia Sas,C1051 - Elaboración de productos de molinería,900,$4272559,$854512,$1191138,$137007,$855560
Clientes,860017005,860017005 - Challengersas,C2750 - Fabricación de aparatos de uso doméstico,900,$3033483,$606697,$906031,$825235,$1395627
prospectos,900470946,900470946 - Autozen Sas,G4511 - Comercio de vehículos automotores nuevos,900,$505995,$126499,$78385,$35319,$36726
prospectos,900620832,900620832 - Sofka Technologies S.A.S.,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",900,$323823,$80956,$182450,$10488,$60476
prospectos,900426105,900426105 - Groupm Trading Colombia S.A.S.,M7310 - Publicidad,880,$472019,$94404,$262696,$2,$137437
Clientes,830000687,830000687 - Sew Eurodrive Colombia Ltda,"C2711 - Fabricación de motores, generadores y transformadores eléctricos",860,$294427,$58885,$141147,$5,$338752
Clientes,800191700,800191700 - Cueros Velez Sas,"C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela",800,$3044014,$761004,$1494142,$828324,$761114
prospectos,830010738,830010738 - C.I. Sunshine Bouquet S.A.S,A0125 - Cultivo de flor de corte,800,$7962984,$1592597,$1253894,$3170891,$1924064
Clientes,830511795,830511795 - Pastas Comarrico S.A.S.,"C1083 - Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",800,$100476,$20095,$47091,$15,$129266
prospectos,900089825,900089825 - Adama Colombia Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",800,$575128,$143782,$87349,$132,$96913
prospectos,900196414,900196414 - Ezentis Colombia S.A.S.,F4321 - Instalaciones eléctricas,794,$105652,$35217,$11231,$14979,$16614
Clientes,900255181,900255181 - Hogar Y Moda Sas,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",785,$761937,$190484,$213346,$91224,$377708
Clientes,890911898,890911898 - Stop S.A.S,"C1410 - Confección de prendas de vestir, excepto prendas de piel",781,$477300,$119325,$207302,$84359,$207556
prospectos,860054781,860054781 - Iron Mountain Colombia Sas,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,766,$419039,$104760,$152545,$30806,$525805
Clientes,890916575,890916575 - Dislicores,G4632 - Comercio al por mayor de bebidas y tabaco,750,$3954978,$988744,$1093844,$773331,$530290
prospectos,800219668,800219668 - Cobranza Nacional De Creditos S.A.S,N8291 - Actividades de agencias de cobranza y oficinas de calificación crediticia,731,$134965,$33741,$62447,$2412,$46518
Clientes,900733568,900733568 - Getcom Servicios S.A.S.,N8220 - Actividades de centros de llamadas (call center),723,$343756,$68751,$48416,$21595,$85118
Clientes,890928257,890928257 - Alico Sas Bic,C2229 - Fabricación de artículos de plástico n.c.p.,701,$1782672,$356534,$430209,$203075,$916097
prospectos,800081664,800081664 - Distribuidora Colombiana De Sentimientos De Belleza S.A.S.,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,700,$548717,$137179,$171698,$13,$41642
prospectos,800120681,800120681 - Croydon Colombia Sa,"C1522 - Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",700,$1357367,$339342,$427727,$207463,$262580
Clientes,811030714,811030714 - Centro De Sistemas De Antioquia S.A.S.,P8551 - Formación para el trabajo,700,$119984,$29996,$0,$104285,$166912
prospectos,830142431,830142431 - Red Latinoamericana De Ingenieria Sas,N8220 - Actividades de centros de llamadas (call center),700,$65832,$16458,$14868,$12,$7143
Clientes,830112413,830112413 - Kpmg Shared Services Sas,M7020 - Actividades de consultoría de gestión,690,$106325,$26581,$19014,$8068,$3036
Clientes,900217771,900217771 - Antioquia Gold Ltd,B0722 - Extracción de oro y otros metales preciosos,668,$1336399,$267280,$158330,$146447,$1505429
prospectos,860005813,860005813 - Deloitte & Touche S.A.S,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",650,$548852,$137213,$0,$71372,$128096
prospectos,900022972,900022972 - Ceiba Software,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",630,$236179,$78726,$72718,$13291,$27491
Clientes,800011002,800011002 - Tecnas S.A,C1089 - Elaboración de otros productos alimenticios n.c.p.,623,$821511,$164302,$268300,$90795,$280850
prospectos,900512356,900512356 - Capgemini Colombia Sas,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",607,$355730,$88932,$107780,$6838,$70057
Clientes,800004800,800004800 - Importadora Celeste Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",604,$294429,$73607,$94274,$19443,$89395
Clientes,800159100,800159100 - Manpower Professional Ltda,N7830 - Otras actividades de provisión de talento humano,600,$638185,$127637,$196328,$15754,$133579
prospectos,800217975,800217975 - Servicios Geologicos Integrados Sas,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,600,$361624,$90406,$73328,$14398,$223655
prospectos,802021332,802021332 - Clinica Centro Sa,"Q8610 - Actividades de hospitales y clínicas, con internación",600,$420804,$105201,$86292,$3154,$261226
prospectos,805009908,805009908 - Regency Sas,"H5221 - Actividades de estaciones, vías y servicios complementarios para el transporte terrestre",600,,,$0,$8112,$12305
Clientes,811007713,811007713 - Sistecredito Sas,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",600,$738881,$147776,$0,$247196,$325215
