PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,900207065,900207065 - Iberomoda S.A.S,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,200,$783069,$130511,$268593,$325440,$45717
prospectos,900266988,900266988 - Grupo Pronum Sas,C2410 - Industrias básicas de hierro y de acero,200,$119089,$39696,$12811,$21436,$10464
prospectos,900294380,900294380 - Lh Sas,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",200,$326919,$81730,$222605,$155883,$299079
prospectos,900397839,900397839 - Compañia Dsierra S.A.S.,G4631 - Comercio al por mayor de productos alimenticios,200,$2387869,$596967,$383146,$212217,$350597
prospectos,900462245,900462245 - Nativa Produce Sas,G4631 - Comercio al por mayor de productos alimenticios,200,$76249,$19062,$5307,$1442,$5637
prospectos,900580962,900580962 - Solinsa Gc Sas,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",200,,,$0,,$105885
prospectos,900860284,900860284 - Bbi Colombia Sas,I5613 - Expendio de comidas preparadas en cafeterías,200,$746197,$248732,$431904,$1153201,($1050779)
prospectos,890700058,890700058 - Union De Arroceros S.A.S.,C1051 - Elaboración de productos de molinería,180,$281178,$281178,$34084,$313831,$136680
prospectos,860000596,860000596 - Espumlatex S.A.,C3290 - Otras industrias manufactureras n.c.p.,172,$173411,$57804,$45406,$38676,$50532
Clientes,804004553,804004553 - Mayorautos Sas,G4511 - Comercio de vehículos automotores nuevos,170,$561757,$140439,$94360,$52819,$139786
Clientes,901033503,901033503 - Boydorr Nutrition Sas,C1089 - Elaboración de otros productos alimenticios n.c.p.,151,$209758,$52440,$37082,$15864,$28584
prospectos,800014338,800014338 - Laboratorios Natural Freshly Infabo Sas Instituto Farmacologico Botanico Sas,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",150,$449749,$112437,$244381,,$385031
prospectos,800067861,800067861 - Compañia Iberoamericana De Plasticos S.A.S,C2229 - Fabricación de artículos de plástico n.c.p.,150,$973600,$194720,$127794,$304300,$1087893
prospectos,800071491,800071491 - Crayola Y Lapiz Sas,P8513 - Educación básica primaria,150,$140368,$35092,$37314,$64027,$32998
prospectos,800139802,800139802 - Genesis Data Sas,J6120 - Actividades de telecomunicaciones inalámbricas,150,$11243,$2811,$3997,$2564,$15075
prospectos,800146643,800146643 - Congrupo S.A.,C1089 - Elaboración de otros productos alimenticios n.c.p.,150,$329638,$109879,$127892,$95195,$147592
prospectos,800189687,800189687 - Aceros Cortados Sas,C2511 - Fabricación de productos metálicos para uso estructural,150,$1504551,$300910,$213500,$439369,$393319
prospectos,800209481,800209481 - Guirnaldas/Innovaflora S.A.S,C3290 - Otras industrias manufactureras n.c.p.,150,$268023,$67006,$70808,$75458,$363852
prospectos,800219028,800219028 - Texim Y Cia Sas,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",150,$138176,$27635,$55402,$5611,$97831
prospectos,800232356,800232356 - Fajobe Sas,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",150,$896123,$179225,$134148,$80,$398671
prospectos,804005810,"804005810 - Empresa De Soluciones, Servicios E Innovacion Essi S.A.S.",M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,150,$173167,$43292,$43070,$143718,$35679
prospectos,830005293,830005293 - Detalgraf S.A.S,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",150,$72449,$18112,$16919,$2048,$6359
prospectos,830011337,830011337 - Clariant Colombia Sa,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",150,$1061542,$212308,$432181,$30000,$254406
prospectos,830012053,830012053 - Urbanizadora Marval S.A.S,F4111 - Construcción de edificios residenciales,150,$1266607,$633303,$442005,$207556,$1342719
prospectos,830035263,830035263 - Lipesa Colombia Sas,C2029 - Fabricación de otros productos químicos n.c.p.,150,$89641,$44820,$34848,$359,$113374
prospectos,830038753,830038753 - Cesvi Colombia S.A.,G4512 - Comercio de vehículos automotores usados,150,$170568,$34114,$31329,$3827,$75153
prospectos,830095169,830095169 - Dsm Nutritional Products Colombia Sa,C2029 - Fabricación de otros productos químicos n.c.p.,150,$907046,$181409,$192966,$221800,$178476
prospectos,860000896,860000896 - Sika Colombia Sas,C2029 - Fabricación de otros productos químicos n.c.p.,150,$2232062,$446412,$1104199,$15580,$645264
prospectos,860002302,860002302 - Eternit Colombiana Sa,"C2395 - Fabricación de artículos de hormigón, cemento y yeso",150,$1512878,$302576,$318835,$74041,$1831386
prospectos,860074578,860074578 - Inacsa Sas,C3120 - Fabricación de colchones y somieres,150,$562518,$112504,$289983,$51053,$50056
prospectos,860512466,860512466 - Sabanalac Sas,C1040 - Elaboración de productos lácteos,150,$1254613,$313653,$233351,$153492,$132738
prospectos,860527917,860527917 - Industrias Bisonte S.A.,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",150,$224061,$56015,$77414,$21851,$52212
prospectos,890200656,890200656 - Palmas Del Cesar S.A.,C1031 - Extracción de aceites de origen vegetal crudos,150,$1041369,$260342,$172231,$100181,$662078
prospectos,890206611,890206611 - Distribuidora Rayco Sas,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",150,$209138,$41828,$107920,$55499,$71375
prospectos,890212212,890212212 - Multiempleos Sa,N7820 - Actividades de empresas de servicios temporales,150,$494056,$123514,$30956,$55106,$14238
